GRD_CD,year,grade_id
D,2017,1
PD,2017,2
D1,2017,3
BP,2017,4
BOPSM,2017,5
BOP,2017,6
PF,2017,7
BP1,2017,8
OF,2017,9
BPS,2017,10
PF1,2017,11
BOPL,2017,12
BPSM,2017,13
OF1,2017,14
BOP1,2017,15
CD1,2017,16
DUST,2017,17
BOPSM1,2017,18
PD1,2017,19
BPSM1,2017,20
CD,2017,21
DUST1,2017,22
OD,2017,23
OCD,2017,24
OPD,2017,25
BPS1,2017,26
BOPS,2017,27
PEKOE GREEN,2017,28
PEKOEGOLDEN,2017,29
BOPL1,2017,30
MIXEDTEA,2017,31
MIXED TEA,2017,32
OD1,2017,33
GBOP,2017,34
OP,2017,35
FOP,2017,36
FINE,2017,37
L.FINE,2017,38
TGFOP,2017,39
TGFOP1,2017,40
SOMI,2017,41
S.FINE,2017,42
OBPS,2017,43
FOP1,2017,44
FBOP,2017,45
FBOP1,2017,46
GFOP,2017,47
FTGFOP,2017,48
GRANDOOLONG,2017,49
STGFOP,2017,50
TIPPY FINE,2017,51
GOF,2017,52
TGBOP,2017,53
GSUCHONG,2017,54
GFBOP,2017,55
FBOPS,2017,56
FBOP(CL),2017,57
TGFBOP,2017,58
STGFOP1,2017,59
SUPER TWIST,2017,60
BOP(SPL),2017,61
S LACCHA,2017,62
WHOLELEAF,2017,63
WHOLELEAF(CL),2017,64
TIPPYCLONEL,2017,65
WLPGOLDEN,2017,66
RD,2017,67
FANNING,2017,68
TGOF,2017,69
SFTGFOP1,2017,70
GOLDENNEEDLE,2017,71
GOLDENTIPPY,2017,72
STGBOP,2017,73
HCOOLONG,2017,74
GBOP1,2017,75
PEKOEGTEA,2017,76
FTGBOP,2017,77
STGBOP1,2017,78
SFTGFOP1(CH),2017,79
TGBOP(CH)SPL,2017,80
WHITEFANNING,2017,81
SFTGFOP1AUT,2017,82
GFBOP(S),2017,83
STGFOP1(S),2017,84
FTGFOP(S),2017,85
TGFOPS,2017,86
FTGFOP1(CL),2017,87
SBP,2017,88
FOF,2017,89
BOPF,2017,90
BOPF(SPL),2017,91
BPS(SPL),2017,92
FTGFOP1 CL T,2017,93
FTGFOP1CHSPL,2017,94
OPA,2017,95
TGFOP(S),2017,96
GFOP1,2017,97
RD1,2017,98
FTGBOP(CLONA,2017,99
OPD(CLONAL),2017,100
SFTGFOP1SUPR,2017,101
SFTGFOP1WRYM,2017,102
GTGFOP1,2017,103
GFBOP(SPL),2017,104
FTGFOP1,2017,105
STGFOP1(SP,2017,106
GBOP(SM),2017,107
FTGFOP1MOONL,2017,108
FTGFOP1(SPL),2017,109
FTGOF(SPL)CH,2017,110
STGBOP1(SPL),2017,111
GFBOPS,2017,112
PF(ROYAL)1,2017,113
BOP(L),2017,114
CHURA,2017,115
STGFOP1S,2017,116
TFBOP,2017,117
SFTGFOP1(CL),2017,118
TGBOP(SPL),2017,119
BPS(O),2017,120
TGFOP(SPL),2017,121
BOP1(O),2017,122
TGFOP1(CLONA,2017,123
GBOP(SPL),2017,124
SFTGBOP1,2017,125
CHU,2017,126
TGBOP(CLONAL,2017,127
FTGFOP1(CHIN,2017,128
SFTGFOP1(FLY,2017,129
SFTGFOP1(SPL,2017,130
FTGFOP1EUPHO,2017,131
SFTGFOP1CLDE,2017,132
SFTGFOP1FLOW,2017,133
SFTGFOP1CHSU,2017,134
GBOP(CL),2017,135
OPD1,2017,136
TGBOP(CL),2017,137
GOF(CL),2017,138
TGBOP1(SPL)C,2017,139
TFBOP(SPL),2017,140
GOF1,2017,141
TGFOP(CL),2017,142
TGBOP(CLO)TI,2017,143
FTGFOP1QUEEN,2017,144
SFTGFOP1AUTF,2017,145
GBOP(WT),2017,146
TGBOP(WT),2017,147
TGOF(WT),2017,148
STGFOP1(,2017,149
SFTGFOP,2017,150
SFTGFOP1CLSU,2017,151
FTGFOP1(CL)S,2017,152
TGBOP(CL)SPL,2017,153
FTGOF(CL),2017,154
FOP(CLONAL),2017,155
SFTGFOP1(CHI,2017,156
SFTGFOP1(MUS,2017,157
SFTGFOP1(TIP,2017,158
FTGOF(CL)SPL,2017,159
SFTGFOP1CLTH,2017,160
TGBOP1,2017,161
CHD1,2017,162
OP1,2017,163
TGOF(SPL),2017,164
BROKEN,2017,165
GOF(CH),2017,166
SFTGFOP1CLQU,2017,167
TGFOP1(SPL),2017,168
GOF(WT),2017,169
TGOF(CL),2017,170
BOP(O),2017,171
SFTGFOP1CHFL,2017,172
GFOP(SPL),2017,173
FTGFOP1(SP,2017,174
SFTGFOP1 WON,2017,175
TGFOP(CLONAL,2017,176
FBOP(SPECIAL,2017,177
STGOF,2017,178
TGBOP(CHINA),2017,179
GFBOP(CL),2017,180
MOGRAI(SPL),2017,181
FBOP(S),2017,182
TGBOP1(CLONA,2017,183
GOF(CLONAL),2017,184
TGFOP1(CL),2017,185
TGFBOP(CL),2017,186
FTGFOP(CL),2017,187
GGOF,2017,188
SFTGFOP1 THU,2017,189
TGBOP1(C,2017,190
LACHHA,2017,191
MOGRAI/II,2017,192
TGOF1,2017,193
TGBOP1(CHINA,2017,194
BPL,2017,195
FTGFOP1CLEUP,2017,196
GOF(CH)SPL,2017,197
FTGFOP1CLQUE,2017,198
GTGFOP1(CL),2017,199
FTGOF(CHINA),2017,200
GFTGFOP1,2017,201
STGBOP1(CL),2017,202
BPS(CLO),2017,203
FOF(CLONAL),2017,204
GFOP(CLONAL),2017,205
FTGFOP1(GT),2017,206
GBOP(CLONAL),2017,207
GTGBOP,2017,208
FBOP(CL)SPL,2017,209
SFTGFOP1CLAS,2017,210
FTGFOP1CLDEL,2017,211
FTGFOP1WHITE,2017,212
D(F),2017,213
STGFOP1(CL),2017,214
FANNINGS,2017,215
SFTGFOP1HIMM,2017,216
SFTGFOP1CHDE,2017,217
LACHHA1,2017,218
SFINE-1,2017,219
OD(CL),2017,220
GFBOP1,2017,221
MAZDANA1,2017,222
GOF(GT),2017,223
HYSON,2017,224
GTGOF,2017,225
TGOF(CHINA),2017,226
STGFOP1SC,2017,227
TGOF(CLONAL),2017,228
FTGFOP(CLONA,2017,229
FTGBOPSPL,2017,230
FTGFOP1EXOTI,2017,231
TGFBOP(CLONA,2017,232
TGBOP1(PREMI,2017,233
GFOP(S),2017,234
TGBOP1(SPL),2017,235
GFOP(CL),2017,236
GTGFBOP,2017,237
GOF(SPL)CL,2017,238
BOPF1,2017,239
BPS(CHINA),2017,240
OF(CLONAL),2017,241
GFBOP(CLONAL,2017,242
MOGRA,2017,243
GTGFOP,2017,244
FTGOF,2017,245
FTGFOP1(CH)U,2017,246
BPS(CLONAL),2017,247
STGFOP1(SPL),2017,248
SFTGFOP1(S),2017,249
STGBOP(CL),2017,250
HYSON1,2017,251
MOGRA I,2017,252
FTGFOP1CLTIP,2017,253
STGFOP1(CLON,2017,254
FTGFOP1CLCLA,2017,255
GFOP1(CLONAL,2017,256
FTGFOP1(CH)M,2017,257
FBOP(CLONAL),2017,258
OF(GOLD),2017,259
FTGFOP1SPLCL,2017,260
FTGBOP1,2017,261
FTGFOP1(,2017,262
TGOF(GT),2017,263
TGOF(AUTM),2017,264
FTGFOP1ESQUI,2017,265
TGBOP AUT,2017,266
FOF1,2017,267
GFTGOF,2017,268
TGFBOP(SPL),2017,269
OF(GT),2017,270
SFTGFOP1AUTM,2017,271
SFTGFOP1CLFL,2017,272
FTGFOP1(CL)A,2017,273
WHITE TEA,2017,274
FTGFOP1FUSIO,2017,275
TGBOP CL,2017,276
BP(CLONAL),2017,277
TOF,2017,278
FTGFBOP(CL),2017,279
OCD1,2017,280
GFOPS,2017,281
PF(CLONAL),2017,282
SFTGFOP1SPLA,2017,283
GFTGFOP,2017,284
FTGFOP1(PREM,2017,285
BOPSM(GOLD,2017,286
TGFBOP(TIPY),2017,287
FTGFOP1 CLAS,2017,288
FTGFOP1TPCLA,2017,289
BP(GOLD),2017,290
FTGFOP1(HF),2017,291
FTGFOP1CLASS,2017,292
OBOP,2017,293
FTGFOP1(EXCE,2017,294
FTGFOP1(SPLN,2017,295
TGOF(PREMIUM,2017,296
SUMI-1,2017,297
SFTGFOP1FLYS,2017,298
TGOF(CH)AUT,2017,299
SUMI,2017,300
TOF(CHINA),2017,301
MOGRA(O),2017,302
FTGFOP(CHINA,2017,303
TGFBOP1,2017,304
FOF G/T,2017,305
TGOF(G/T),2017,306
FOPGOLD,2017,307
TGOF MUSK,2017,308
TGBOP(G/T),2017,309
CD1(CL),2017,310
MI(SM),2017,311
FOF(CHINA),2017,312
GBOP(CLONAL)SPL,2017,313
TGFOP1(CLONAL),2017,314
SFTGFOP1(CH)SUP,2017,315
SFTGFOP1CLTHUND,2017,316
FTGFOP1 CLASSIC,2017,317
FTGFOP1CHMUSKGO,2017,318
MOGRA1/II(F),2017,319
SFTGFOP1(CHINA),2017,320
FTGFOP1(CHINA),2017,321
FTGFOP1 CL TIP,2017,322
FTGFOP1MOONLGHT,2017,323
TGBOP1(CLONAL),2017,324
SFTGFOP1CLDELIG,2017,325
FTGFOP1(CL)SPL,2017,326
TGFOP(CLONAL),2017,327
FTGFOP1(SPL)CL,2017,328
FTGFOP (S),2017,329
GBOP S,2017,330
SFTGFOP1(MUSK),2017,331
LACHHASUPER,2017,332
PD(FINE),2017,333
FTGFOP1ENIGMA,2017,334
GTGFOP(SPL),2017,335
FBOP(SPECIAL),2017,336
MASDANA,2017,337
MASDANA(S),2017,338
SFTGFOP1(SPL),2017,339
SUPER FINE,2017,340
FTGFOP(CLONAL),2017,341
SFTGFOP1CLTHAUT,2017,342
FTGFOP1(CH)MUS,2017,343
FTGFOP1(UPR)CH,2017,344
SFTGFOP1(CH)CLA,2017,345
FTGFOP1(CH)SUP,2017,346
SFTGFOP1CLASAUT,2017,347
SUPERMOGRA,2017,348
FTGFOP1 SUPREME,2017,349
FTGFOP1SPENDOUR,2017,350
SFTGFOP1(CL)FLY,2017,351
TGBOP(CLONAL),2017,352
FTGFOP1SPLCLAUT,2017,353
FTGFOP1CLEMPERO,2017,354
SFTGFOP1(CH)CL,2017,355
TGBOP1(CH),2017,356
SFTGFOP1(VIN)MU,2017,357
SFTGFOP1(CH)MUS,2017,358
FTGFOP1(CH)WIRY,2017,359
OPD(SPL),2017,360
FTGFOP1(CH),2017,361
FTGFOPOOLONG,2017,362
GREEN TEA,2017,363
PD(GOLD),2017,364
MOGRAII,2017,365
GTII,2017,366
GFOP1(CLONAL),2017,367
FTGBOP(CLONAL),2017,368
SFTGFOP1(SPL)CL,2017,369
FBOP(TIPPY),2017,370
GT BULK,2017,371
YELLOWLEAF,2017,372
TFBOP SPL,2017,373
TGFBOP(CLONAL),2017,374
STGFOP SPL,2017,375
SFTGFOP(CL),2017,376
TGOF(PREMIUM),2017,377
FGOF,2017,378
MI(S),2017,379
FTGFOP1 AUT,2017,380
MOGRA II SUPERF,2017,381
GBOPSM,2017,382
SFTGFOP1(CH)FLY,2017,383
MOGRA I SUPERFI,2017,384
TGBOP(CLO)TIPPY,2017,385
MOGRA I FINE,2017,386
SFTGFOP1GREEN,2017,387
SFTGFOP1FLYSPLA,2017,388
SFTGFOP1(CH)AUT,2017,389
TGBOP1(AUT),2017,390
FTGFOP1(CH)MUSK,2017,391
FTGFOP1(SPL)CH,2017,392
TOFAUT,2017,393
BPS(GREEN),2017,394
TGFOP(TIPPY),2017,395
TGFOP1(TIPPY),2017,396
SFTGFOP1CHDELIG,2017,397
FTGFOP1HIMMUSK,2017,398
SFTGFOP1CHSUPRM,2017,399
FTGFOP1CLQUEENT,2017,400
FTGFOPCHMUSK,2017,401
SFTGFOP1FLOWSUP,2017,402
FTGBOP(CL),2017,403
TGFBOP(SPL-CL),2017,404
FTGFOP1CLEUPHOR,2017,405
FTGFOP1(CL)MUSK,2017,406
FTGFOP1(MUSCAT),2017,407
SFTGFOP1(CH)SPL,2017,408
SFTGFOP1(CL)CLA,2017,409
FTGFOP1(CL)WOND,2017,410
TGBOP1(CHINA),2017,411
FTGFOP1EUPHORIA,2017,412
GFBOP(TIPY),2017,413
GFBOPSC,2017,414
